datetime,TI_150m_A,TI_150m_B,TI_120m,TI_100m,TI_80m,TI_50m,TI_30m,TI_10m
2026-07-07 15:00:00,0.05474,0.055343,0.057388,0.060036,0.066162,0.092261,0.1494,0.244532
2026-07-07 15:10:00,0.048195,0.047681,0.052824,0.057687,0.064922,0.09971,0.15692,0.24383
2026-07-07 15:20:00,0.062016,0.06504,0.074165,0.075841,0.085312,0.111699,0.125425,0.227743
2026-07-07 15:30:00,0.05879,0.060562,0.072144,0.078095,0.082239,0.093374,0.141343,0.219009
2026-07-07 15:40:00,0.045092,0.046515,0.053546,0.060032,0.076401,0.123759,0.173416,0.248964
2026-07-07 15:50:00,0.056781,0.05932,0.066154,0.071027,0.07582,0.103502,0.132242,0.233799
2026-07-07 16:00:00,0.061053,0.060045,0.064564,0.068574,0.074756,0.104364,0.156198,0.22655
2026-07-07 16:10:00,0.059628,0.060686,0.068482,0.070406,0.078816,0.107204,0.181064,0.229274
2026-07-07 16:20:00,0.07165,0.06868,0.068177,0.073892,0.083878,0.117874,0.15809,0.237792
2026-07-07 16:30:00,0.060378,0.060624,0.060073,0.06033,0.060885,0.084522,0.148641,0.235387
2026-07-07 16:40:00,0.057813,0.057149,0.060321,0.06369,0.065842,0.091156,0.13546,0.215906
2026-07-07 16:50:00,0.060871,0.061657,0.063069,0.06539,0.080597,0.111254,0.155473,0.220322
2026-07-07 17:00:00,0.076434,0.078865,0.087441,0.097115,0.091445,0.11206,0.162234,0.236204
2026-07-07 17:10:00,0.071672,0.073141,0.080209,0.080992,0.092107,0.121233,0.173208,0.262626
2026-07-07 17:20:00,0.07397,0.0752,0.077556,0.081923,0.084389,0.108848,0.171003,0.254344
2026-07-07 17:30:00,0.06391,0.062709,0.073354,0.080983,0.079937,0.09525,0.140167,0.200616
2026-07-07 17:40:00,0.066156,0.06929,0.063768,0.066682,0.074644,0.111102,0.156329,0.245355
2026-07-07 17:50:00,0.074158,0.078356,0.072002,0.073213,0.07917,0.102773,0.149724,0.245188
2026-07-07 18:00:00,0.072113,0.073898,0.076047,0.082463,0.094467,0.097994,0.123298,0.200266
2026-07-07 18:10:00,0.082834,0.08332,0.089763,0.091975,0.095984,0.116859,0.164099,0.242095
2026-07-07 18:20:00,0.073989,0.073345,0.075647,0.07878,0.086709,0.121751,0.168887,0.257111
2026-07-07 18:30:00,0.072105,0.071283,0.072408,0.080174,0.077206,0.1175,0.151715,0.254487
2026-07-07 18:40:00,0.10757,0.110465,0.118086,0.123025,0.121572,0.149939,0.199298,0.280688
2026-07-07 18:50:00,0.064689,0.064224,0.06896,0.07334,0.075086,0.097659,0.141172,0.236999
2026-07-07 19:00:00,0.092555,0.08999,0.097609,0.096081,0.096389,0.113734,0.169193,0.249172
2026-07-07 19:10:00,0.074935,0.07587,0.078691,0.079949,0.079651,0.106797,0.142215,0.209013
2026-07-07 19:20:00,0.097973,0.101321,0.105607,0.096882,0.104104,0.108629,0.156949,0.232216
